ObjectID,Name,StartDepotName,EndDepotName,EarliestStartTime,LatestStartTime,Capacities,CostPerUnitTime,CostPerUnitDistance,CostPerUnitOvertime,OvertimeStartTime,MaxOrderCount,MaxTotalTime,AssignmentRule,SpecialtyNames,Description,TechnicianRating,Team
27,Technician027,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Las_Colinas,3.99,Las_Colinas
28,Technician028,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Plano,3.27,Plano
29,Technician029,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Frisco,3.46,Frisco
30,Technician030,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Arlington,4.36,Arlington
31,Technician031,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Garland,4.47,Garland
32,Technician032,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC Plumbing,Synthetic technician routed from Depot_McKinney,4.84,McKinney
33,Technician033,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Richardson,3.75,Richardson
34,Technician034,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Dallas_North,3.83,Dallas_North
35,Technician035,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Las_Colinas,4.0,Las_Colinas
36,Technician036,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical Controls,Synthetic technician routed from Depot_Plano,3.52,Plano
37,Technician037,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Frisco,3.42,Frisco
38,Technician038,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Arlington,4.01,Arlington
39,Technician039,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Garland,3.59,Garland
40,Technician040,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_McKinney,4.34,McKinney
41,Technician041,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Richardson,3.94,Richardson
42,Technician042,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Dallas_North,4.62,Dallas_North
43,Technician043,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Las_Colinas,4.39,Las_Colinas
44,Technician044,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing Electrical,Synthetic technician routed from Depot_Plano,3.73,Plano
45,Technician045,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Frisco,4.61,Frisco
46,Technician046,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Arlington,4.57,Arlington
47,Technician047,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Garland,3.86,Garland
48,Technician048,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_McKinney,3.69,McKinney
49,Technician049,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Richardson,4.36,Richardson
50,Technician050,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Dallas_North,3.44,Dallas_North
51,Technician051,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Las_Colinas,3.54,Las_Colinas
52,Technician052,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC Plumbing,Synthetic technician routed from Depot_Plano,3.21,Plano
53,Technician053,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Frisco,4.54,Frisco
54,Technician054,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Arlington,4.33,Arlington
55,Technician055,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Garland,4.4,Garland
56,Technician056,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical Controls,Synthetic technician routed from Depot_McKinney,4.53,McKinney
57,Technician057,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Richardson,3.98,Richardson
58,Technician058,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Dallas_North,4.17,Dallas_North
59,Technician059,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Las_Colinas,3.44,Las_Colinas
60,Technician060,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Plano,3.39,Plano
61,Technician061,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Frisco,4.34,Frisco
62,Technician062,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Arlington,4.0,Arlington
63,Technician063,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Garland,4.16,Garland
64,Technician064,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing Electrical,Synthetic technician routed from Depot_McKinney,4.5,McKinney
65,Technician065,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Richardson,4.28,Richardson
66,Technician066,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Dallas_North,4.14,Dallas_North
67,Technician067,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Las_Colinas,4.15,Las_Colinas
68,Technician068,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Plano,3.72,Plano
69,Technician069,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Frisco,3.25,Frisco
70,Technician070,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Arlington,3.94,Arlington
71,Technician071,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Garland,3.56,Garland
72,Technician072,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC Plumbing,Synthetic technician routed from Depot_McKinney,3.89,McKinney
73,Technician073,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Richardson,4.65,Richardson
74,Technician074,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Dallas_North,3.6,Dallas_North
75,Technician075,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Las_Colinas,3.3,Las_Colinas
76,Technician076,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical Controls,Synthetic technician routed from Depot_Plano,3.68,Plano
77,Technician077,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Frisco,3.7,Frisco
78,Technician078,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Arlington,4.33,Arlington
79,Technician079,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Garland,4.15,Garland
80,Technician080,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_McKinney,4.53,McKinney
81,Technician081,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Richardson,4.33,Richardson
82,Technician082,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Dallas_North,3.89,Dallas_North
83,Technician083,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Las_Colinas,4.58,Las_Colinas
84,Technician084,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing Electrical,Synthetic technician routed from Depot_Plano,3.48,Plano
85,Technician085,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Frisco,3.24,Frisco
86,Technician086,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Arlington,3.35,Arlington
87,Technician087,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Garland,4.43,Garland
88,Technician088,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_McKinney,3.99,McKinney
89,Technician089,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Richardson,3.47,Richardson
90,Technician090,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Dallas_North,4.05,Dallas_North
91,Technician091,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Las_Colinas,3.46,Las_Colinas
92,Technician092,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC Plumbing,Synthetic technician routed from Depot_Plano,4.38,Plano
93,Technician093,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Frisco,3.96,Frisco
94,Technician094,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Arlington,3.85,Arlington
95,Technician095,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Garland,3.71,Garland
96,Technician096,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical Controls,Synthetic technician routed from Depot_McKinney,4.27,McKinney
97,Technician097,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Richardson,3.82,Richardson
98,Technician098,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Dallas_North,3.35,Dallas_North
99,Technician099,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Las_Colinas,3.4,Las_Colinas
100,Technician100,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Plano,4.84,Plano
101,Technician101,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Frisco,4.74,Frisco
102,Technician102,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Arlington,4.39,Arlington
103,Technician103,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Garland,3.65,Garland
104,Technician104,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing Electrical,Synthetic technician routed from Depot_McKinney,4.85,McKinney
105,Technician105,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Richardson,4.52,Richardson
106,Technician106,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Dallas_North,4.42,Dallas_North
107,Technician107,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Las_Colinas,3.96,Las_Colinas
108,Technician108,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Plano,3.66,Plano
109,Technician109,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Frisco,3.36,Frisco
110,Technician110,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Arlington,4.73,Arlington
111,Technician111,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Garland,3.97,Garland
112,Technician112,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC Plumbing,Synthetic technician routed from Depot_McKinney,3.54,McKinney
113,Technician113,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Richardson,3.72,Richardson
114,Technician114,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Dallas_North,4.18,Dallas_North
115,Technician115,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Las_Colinas,3.5,Las_Colinas
116,Technician116,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical Controls,Synthetic technician routed from Depot_Plano,4.66,Plano
117,Technician117,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Frisco,4.49,Frisco
118,Technician118,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Arlington,4.42,Arlington
119,Technician119,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing,Synthetic technician routed from Depot_Garland,3.93,Garland
120,Technician120,Depot_McKinney,Depot_McKinney,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_McKinney,4.27,McKinney
121,Technician121,Depot_Richardson,Depot_Richardson,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Richardson,4.19,Richardson
122,Technician122,Depot_Dallas_North,Depot_Dallas_North,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Dallas_North,4.3,Dallas_North
123,Technician123,Depot_Las_Colinas,Depot_Las_Colinas,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Controls,Synthetic technician routed from Depot_Las_Colinas,3.34,Las_Colinas
124,Technician124,Depot_Plano,Depot_Plano,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Plumbing Electrical,Synthetic technician routed from Depot_Plano,3.91,Plano
125,Technician125,Depot_Frisco,Depot_Frisco,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,,Synthetic technician routed from Depot_Frisco,3.27,Frisco
126,Technician126,Depot_Arlington,Depot_Arlington,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,Electrical,Synthetic technician routed from Depot_Arlington,4.04,Arlington
127,Technician127,Depot_Garland,Depot_Garland,2026-04-06 07:00:00,2026-04-06 07:45:00,150,1.0,0.35,4.5,540,130,720,1,HVAC,Synthetic technician routed from Depot_Garland,3.76,Garland
